,0
loading.Global.2->concessoes_livres_total,-0.016069039774940303
loading.Credit->concessoes_livres_total,-0.18981481885392137
loading.Global.1->concessoes_livres_PJ_desconto_de_duplicatas_e_recebveis,-0.0669010889727439
loading.Global.2->concessoes_livres_PJ_desconto_de_duplicatas_e_recebveis,-0.0884503550682339
loading.Credit->concessoes_livres_PJ_desconto_de_duplicatas_e_recebveis,-0.12369568048358359
loading.Global.1->concessoes_livres_PJ_capital_de_giro_total,-0.006947720308205967
loading.Global.2->concessoes_livres_PJ_capital_de_giro_total,0.037179141564688614
loading.Credit->concessoes_livres_PJ_capital_de_giro_total,-0.04355311774083906
loading.Global.1->concessoes_livres_PJ_aquisicao_de_bens_total,-0.053234222812444026
loading.Global.2->concessoes_livres_PJ_aquisicao_de_bens_total,-0.06790801087530011
loading.Credit->concessoes_livres_PJ_aquisicao_de_bens_total,-0.16372959541856844
loading.Global.1->concessoes_livres_PJ_cartao_de_credito_total,-0.06308360298482112
loading.Global.2->concessoes_livres_PJ_cartao_de_credito_total,0.0465702470644764
loading.Credit->concessoes_livres_PJ_cartao_de_credito_total,-0.10909294199057326
loading.Global.1->concessoes_livres_PF_cheque_especial,-0.02113101744120039
loading.Global.2->concessoes_livres_PF_cheque_especial,0.06512049590212207
loading.Credit->concessoes_livres_PF_cheque_especial,-0.15925257621131264
loading.Global.1->concessoes_livres_PF_credito_pessoal_nao_consignado_total,-0.036332898189842255
loading.Global.2->concessoes_livres_PF_credito_pessoal_nao_consignado_total,-0.04173953123612792
loading.Credit->concessoes_livres_PF_credito_pessoal_nao_consignado_total,-0.15868920965922198
loading.Global.1->concessoes_livres_PF_credito_pessoal_consignado_total,-0.05345718265241006
loading.Global.2->concessoes_livres_PF_credito_pessoal_consignado_total,-0.02282467566211864
loading.Credit->concessoes_livres_PF_credito_pessoal_consignado_total,-0.045246932145578365
loading.Global.1->concessoes_livres_PF_aquisicao_de_bens_total,-0.09862098074104683
loading.Global.2->concessoes_livres_PF_aquisicao_de_bens_total,-0.04667302161448831
loading.Credit->concessoes_livres_PF_aquisicao_de_bens_total,-0.04697650801525532
loading.Global.1->concessoes_livres_PF_cartao_de_credito_total,-0.06989618469076597
loading.Global.2->concessoes_livres_PF_cartao_de_credito_total,-0.014124419935577101
loading.Credit->concessoes_livres_PF_cartao_de_credito_total,-0.16799359816884749
loading.Global.1->cambio_media_mensal,0.0909744180013684
loading.Global.2->cambio_media_mensal,-0.058596173420475614
loading.Prices->cambio_media_mensal,-0.07749120696863691
loading.Global.1->icbr_agro,0.015127458477000224
loading.Global.2->icbr_agro,-0.0948645914338414
loading.Prices->icbr_agro,-0.16531246691739263
loading.Global.1->icbr_metal,-0.016313175792735928
loading.Global.2->icbr_metal,-0.13346901827019678
loading.Prices->icbr_metal,-0.0626271198071845
loading.Global.1->icbr_energia,-0.045839096828915994
loading.Global.2->icbr_energia,-0.10498275434309688
loading.Prices->icbr_energia,-0.03697728831567265
loading.Global.1->pms_servicos_familias,-0.08744812374905907
loading.Global.2->pms_servicos_familias,0.10215817506644123
loading.Output->pms_servicos_familias,-0.12920680413829505
loading.Global.1->pms_tic,-0.117192900378552
loading.Global.2->pms_tic,0.022589699277276623
loading.Output->pms_tic,-0.014253807936821801
loading.Global.1->pms_servicos_profissionais,-0.10241155121425516
loading.Global.2->pms_servicos_profissionais,0.0903269565899949
loading.Output->pms_servicos_profissionais,-0.06035385776589951
loading.Global.1->pms_transportes,-0.11013803194946004
loading.Global.2->pms_transportes,0.022203680889344504
loading.Output->pms_transportes,-0.07568341558258417
loading.Global.1->pms_outros,-0.0762261554887492
loading.Global.2->pms_outros,0.0032348804897749596
loading.Output->pms_outros,0.036149712148025634
loading.Global.1->pib,-0.16324029006110313
loading.Global.2->pib,0.03034552737247009
loading.Output->pib,0.03072585877258573
L1.Global.1->Global.1,1.4365255524708602
L1.Global.2->Global.1,0.4329099614990361
L2.Global.1->Global.1,-0.4497552461437092
L2.Global.2->Global.1,-0.4184153118518976
L1.Global.1->Global.2,-0.20736210042804146
L1.Global.2->Global.2,2.001119792106294
L2.Global.1->Global.2,0.19396407608054417
L2.Global.2->Global.2,-1.0121396643098122
L1.Output->Output,0.7850204006567936
L1.Employment->Employment,0.9722744906689472
L1.Prices->Prices,0.8019482590097345
L1.Sentiment->Sentiment,0.9252393457040531
L1.Credit->Credit,0.9558092850583859
"fb(0).cov.chol[1,1]",0.8229741187604832
"fb(0).cov.chol[2,1]",0.25540206516336056
"fb(0).cov.chol[2,2]",0.2505384830650538
"fb(1).cov.chol[1,1]",1.9522222788397248
"fb(2).cov.chol[1,1]",0.5514800271778941
"fb(3).cov.chol[1,1]",1.9361964370655256
"fb(4).cov.chol[1,1]",0.7611901091420324
"fb(5).cov.chol[1,1]",0.7276125534412115
L1.eps_M.pim_industria_extrativa,0.8031856769621588
L1.eps_M.pim_industria_transformacao,0.1404833058699863
L1.eps_M.pim_bens_capital,0.6619798692025374
L1.eps_M.pim_bens_intermediarios,0.7409674830606947
L1.eps_M.pim_bens_consumo,0.5245549673680399
